frame,time_s,raw_yaw_deg,raw_pitch_deg,raw_screen_x,raw_screen_y,filtered_x,filtered_y,final_x,final_y,speed,locked,ear_avg,blink_click,fwd_x,fwd_y,fwd_z
105,7.0232,181.9911,210.0905,1407.4,-1446.5,1400.9,-1437.0,1382.4,10.0,1.18,1,0.2684,0,0.030066,0.501140,0.864844
106,7.0742,182.1151,209.7946,1415.4,-1425.2,1404.7,-1437.0,1382.4,10.0,3.78,1,0.2683,0,0.032034,0.496637,0.867367
107,7.1211,182.0712,209.9004,1412.6,-1432.8,1406.8,-1436.8,1382.4,10.0,2.10,1,0.2677,0,0.031336,0.498249,0.866468
108,7.1691,182.1146,209.8937,1415.3,-1432.3,1409.3,-1436.3,1382.4,10.0,2.48,1,0.2666,0,0.031995,0.498137,0.866508
109,7.2146,182.1126,209.8350,1415.2,-1428.1,1410.9,-1435.0,1382.4,10.0,1.65,1,0.2663,0,0.031983,0.497250,0.867018
110,7.2625,182.3666,209.3277,1431.5,-1391.6,1418.7,-1415.8,1382.4,10.0,7.77,1,0.2653,0,0.036008,0.489486,0.871267
111,7.3112,182.3076,209.3432,1427.7,-1392.7,1422.1,-1404.5,1382.4,10.0,3.39,1,0.2650,0,0.035106,0.489737,0.871163
112,7.3583,182.2159,209.3443,1421.8,-1392.8,1422.0,-1399.0,1382.4,10.0,0.09,1,0.2642,0,0.033711,0.489778,0.871195
113,7.4067,182.2567,209.3383,1424.4,-1392.4,1422.7,-1396.1,1382.4,10.0,0.68,1,0.2636,0,0.034333,0.489677,0.871228
114,7.4536,182.1623,209.3189,1418.4,-1391.0,1421.9,-1394.0,1382.4,10.0,0.81,1,0.2681,0,0.032903,0.489406,0.871435
115,7.5020,182.1444,209.2649,1417.2,-1387.1,1421.4,-1391.3,1382.4,10.0,0.48,1,0.2707,0,0.032648,0.488588,0.871904
116,7.5486,182.1235,208.9525,1415.9,-1364.6,1421.4,-1379.0,1382.4,10.0,0.04,1,0.2687,0,0.032427,0.483829,0.874562
117,7.5972,181.9898,208.5389,1407.3,-1334.8,1419.0,-1353.8,1382.4,10.0,2.36,1,0.2717,0,0.030507,0.477532,0.878084
118,7.6446,181.9325,208.2596,1403.7,-1314.7,1414.8,-1329.9,1382.4,10.0,4.17,1,0.2729,0,0.029706,0.473259,0.880422
119,7.6950,181.9322,208.1497,1403.7,-1306.8,1411.3,-1315.6,1382.4,10.0,3.58,1,0.2748,0,0.029732,0.471569,0.881328
